   Year      Age       Female          Male         Total
   1959        0        16654.83     17520.22     34175.06 
   1959        1        16122.61     17128.31     33250.92 
   1959        2        15873.58     16620.00     32493.57 
   1959        3        15919.05     16353.77     32272.82 
   1959        4        15904.31     16394.42     32298.73 
   1959        5        15227.17     15886.50     31113.67 
   1959        6        14910.52     15567.00     30477.51 
   1959        7        15193.21     15779.88     30973.09 
   1959        8        15149.51     15862.31     31011.82 
   1959        9        15416.13     15948.59     31364.72 
   1959       10        15665.18     16113.42     31778.60 
   1959       11        15181.20     15720.03     30901.23 
   1959       12        14250.26     14676.59     28926.85 
   1959       13        13429.49     13766.36     27195.85 
   1959       14        13648.76     13856.84     27505.60 
   1959       15        14610.06     14810.69     29420.75 
   1959       16        15813.38     15784.58     31597.96 
   1959       17        17283.73     17143.62     34427.35 
   1959       18        17951.80     17720.31     35672.11 
   1959       19        17901.60     17604.53     35506.13 
   1959       20        18376.98     17895.49     36272.46 
   1959       21        18506.42     17598.61     36105.03 
   1959       22        18277.38     16997.43     35274.81 
   1959       23        17825.64     16415.94     34241.58 
   1959       24        16956.36     15649.00     32605.36 
   1959       25        17007.51     15561.12     32568.62 
   1959       26        18163.89     16663.83     34827.72 
   1959       27        18524.74     17363.09     35887.82 
   1959       28        19013.34     17907.17     36920.51 
   1959       29        19074.30     17750.35     36824.66 
   1959       30        19848.53     17453.90     37302.43 
   1959       31        20355.38     17091.29     37446.67 
   1959       32        20161.10     14959.81     35120.92 
   1959       33        20657.38     12963.58     33620.96 
   1959       34        19830.82     11711.37     31542.19 
   1959       35        19592.67     11269.68     30862.36 
   1959       36        19109.09     11078.60     30187.69 
   1959       37        17011.88     10578.08     27589.97 
   1959       38        15179.63     10161.57     25341.20 
   1959       39        13566.10      9268.71     22834.82 
   1959       40        12929.27      8819.72     21748.98 
   1959       41        11637.93      8041.07     19679.00 
   1959       42        10697.07      7505.74     18202.81 
   1959       43        12284.77      8438.79     20723.56 
   1959       44        14306.90      9666.10     23973.00 
   1959       45        15773.47     10827.65     26601.12 
   1959       46        16242.41     11477.33     27719.74 
   1959       47        16213.38     11578.51     27791.89 
   1959       48        16382.78     11775.47     28158.25 
   1959       49        16228.23     11649.45     27877.69 
   1959       50        15943.44     11341.70     27285.15 
   1959       51        15718.47     11744.69     27463.17 
   1959       52        15428.77     12141.77     27570.54 
   1959       53        15319.12     12029.32     27348.44 
   1959       54        14992.40     11731.77     26724.17 
   1959       55        15156.01     11290.67     26446.69 
   1959       56        15159.81     10578.62     25738.43 
   1959       57        14191.16      9444.23     23635.40 
   1959       58        14682.78      8815.34     23498.11 
   1959       59        14248.49      8082.63     22331.11 
   1959       60        13133.73      7185.48     20319.21 
   1959       61        12650.12      6733.70     19383.82 
   1959       62        11791.53      6296.74     18088.26 
   1959       63        12095.26      6379.36     18474.61 
   1959       64        11544.23      6272.42     17816.65 
   1959       65        10926.54      6044.57     16971.12 
   1959       66        10450.65      5786.88     16237.52 
   1959       67        10042.95      5453.67     15496.62 
   1959       68        10228.49      5283.35     15511.84 
   1959       69         9658.62      4887.02     14545.64 
   1959       70         9620.25      4721.78     14342.03 
   1959       71         8867.43      4444.73     13312.16 
   1959       72         7632.67      3915.69     11548.36 
   1959       73         7827.18      3857.03     11684.21 
   1959       74         7275.10      3703.22     10978.31 
   1959       75         6833.71      3650.89     10484.60 
   1959       76         6408.19      3353.83      9762.02 
   1959       77         5632.95      2819.21      8452.16 
   1959       78         5341.24      2570.82      7912.07 
   1959       79         4745.97      2272.70      7018.67 
   1959       80         4201.49      1962.48      6163.97 
   1959       81         3701.30      1689.81      5391.12 
   1959       82         3206.65      1459.81      4666.46 
   1959       83         2839.42      1252.21      4091.64 
   1959       84         2492.41      1057.76      3550.16 
   1959       85         2059.24       887.51      2946.76 
   1959       86         1704.21       729.67      2433.88 
   1959       87         1421.97       563.46      1985.43 
