   Year      Age       Female          Male         Total
   1947        0      1084290.87   1134893.64   2219184.51 
   1947        1       838642.17    864764.96   1703407.13 
   1947        2       872869.10    892516.26   1765385.36 
   1947        3       955238.14    976114.14   1931352.28 
   1947        4       972246.87    995798.45   1968045.32 
   1947        5       977927.37   1001769.46   1979696.82 
   1947        6       942897.19    963513.16   1906410.34 
   1947        7       859380.57    877022.15   1736402.72 
   1947        8       816902.26    833491.84   1650394.10 
   1947        9       846858.60    865681.01   1712539.61 
   1947       10       880885.88    899822.81   1780708.68 
   1947       11       883461.44    900211.01   1783672.45 
   1947       12       860237.85    875883.18   1736121.03 
   1947       13       849932.98    865641.26   1715574.23 
   1947       14       853480.07    868771.66   1722251.73 
   1947       15       849127.67    864262.31   1713389.98 
   1947       16       831960.20    844673.38   1676633.59 
   1947       17       813303.35    818327.82   1631631.18 
   1947       18       800424.44    794066.19   1594490.63 
   1947       19       786053.50    779093.13   1565146.64 
   1947       20       774417.55    761348.60   1535766.15 
   1947       21       763141.17    723957.06   1487098.23 
   1947       22       733890.05    662630.54   1396520.59 
   1947       23       702277.91    591209.72   1293487.63 
   1947       24       681885.26    534648.16   1216533.42 
   1947       25       658514.13    499741.24   1158255.37 
   1947       26       649895.76    494016.94   1143912.70 
   1947       27       613790.83    480479.18   1094270.01 
   1947       28       561969.26    454818.81   1016788.07 
   1947       29       553687.08    457632.23   1011319.31 
   1947       30       557641.22    469630.44   1027271.66 
   1947       31       556205.55    473132.16   1029337.71 
   1947       32       553860.79    475140.78   1029001.57 
   1947       33       547466.51    476202.20   1023668.72 
   1947       34       535891.99    469214.20   1005106.19 
   1947       35       531398.71    468149.79    999548.50 
   1947       36       519949.04    467501.33    987450.38 
   1947       37       505854.91    465172.12    971027.03 
   1947       38       491850.40    459177.85    951028.26 
   1947       39       472954.91    453566.05    926520.96 
   1947       40       437374.62    435447.70    872822.32 
   1947       41       409005.42    413697.75    822703.17 
   1947       42       403942.84    407862.73    811805.57 
   1947       43       404371.82    411200.41    815572.23 
   1947       44       409813.12    418774.64    828587.75 
   1947       45       405852.02    417984.83    823836.85 
   1947       46       392423.89    405378.57    797802.46 
   1947       47       370206.17    382778.18    752984.35 
   1947       48       354453.53    367929.37    722382.90 
   1947       49       342487.85    357603.15    700091.00 
   1947       50       326757.21    342360.18    669117.39 
   1947       51       318090.79    332647.90    650738.69 
   1947       52       307564.66    319910.61    627475.27 
   1947       53       291767.14    300900.62    592667.76 
   1947       54       281699.16    289049.41    570748.57 
   1947       55       269278.88    273766.47    543045.35 
   1947       56       261403.10    261126.10    522529.20 
   1947       57       268923.59    265328.69    534252.27 
   1947       58       267638.77    261025.84    528664.61 
   1947       59       254653.84    245046.93    499700.78 
   1947       60       234747.68    221081.72    455829.40 
   1947       61       220864.49    202588.71    423453.21 
   1947       62       221456.70    197071.72    418528.42 
   1947       63       220419.04    189936.13    410355.16 
   1947       64       214431.39    180318.43    394749.83 
   1947       65       209698.32    173862.13    383560.45 
   1947       66       199719.97    163467.83    363187.81 
   1947       67       188271.33    151245.97    339517.30 
   1947       68       181581.01    142500.14    324081.15 
   1947       69       170685.17    131270.29    301955.46 
   1947       70       161108.83    121660.44    282769.27 
   1947       71       149180.11    109800.50    258980.61 
   1947       72       132559.28     94825.95    227385.22 
   1947       73       119589.42     83142.27    202731.69 
   1947       74       106060.83     72007.58    178068.41 
   1947       75        88705.01     59177.39    147882.40 
   1947       76        72738.17     47149.22    119887.39 
   1947       77        62417.69     38993.16    101410.86 
   1947       78        58405.96     35344.00     93749.96 
   1947       79        51809.20     30445.35     82254.55 
   1947       80        42313.65     23793.55     66107.20 
   1947       81        37702.59     20261.97     57964.55 
   1947       82        32143.43     16572.87     48716.30 
   1947       83        23470.10     11958.25     35428.35 
   1947       84        16743.21      8157.91     24901.12 
   1947       85        12366.53      5744.78     18111.31 
   1947       86         9862.03      4542.31     14404.35 
   1947       87         7981.41      3518.34     11499.74 
   1947       88         6055.22      2654.80      8710.02 
   1947       89         4517.26      1955.77      6473.02 
   1947       90         3238.51      1324.44      4562.95 
   1947       91         2223.49       857.51      3080.99 
   1947       92         1532.60       554.16      2086.76 
   1947       93          974.22       363.38      1337.60 
   1947       94          620.43       244.32       864.75 
   1947       95          369.15       146.60       515.76 
   1947       96          219.76        86.22       305.98 
   1947       97          148.56        60.03       208.60 
   1947       98           86.53        43.69       130.23 
   1947       99           41.01        24.52        65.53 
   1947      100           23.01        10.34        33.34 
   1947      101           15.00         4.00        19.00 
   1947      102            8.67         4.00        12.67 
   1947      103            6.83         1.33         8.17 
   1947      104            3.67         1.00         4.67 
   1947      105            2.17         2.00         4.17 
   1947      106            1.17         1.33         2.50 
   1947      107            1.00         1.33         2.33 
   1947      108            1.50         0.00         1.50 
   1947      109            1.17         0.50         1.67 
